,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
425,Parabel,41,RU,1563337678,68,58.71,81.5,21.1,4.23
426,Davila,75,PH,1563337678,83,18.47,120.58,28,2.1
428,Saint-Francois,0,FR,1563337678,87,46.42,3.91,10,0.5
429,Kutum,74,SD,1563337679,59,14.2,24.66,24.4,2.58
430,Mount Isa,0,AU,1563337679,15,-20.73,139.49,24,5.7
431,Siniscola,0,IT,1563337679,66,40.57,9.69,16.3,1.54
432,Japura,100,ID,1563337679,65,-0.42,102.29,28.3,1.96
433,Fiumicino,0,IT,1563337679,63,41.77,12.23,21.11,2.6
434,Paragominas,0,BR,1563337679,96,-3,-47.35,21.8,1.21
435,Jay,1,US,1563337680,83,36.42,-94.8,27.22,2.32
436,Ambon,0,FR,1563337680,82,47.55,-2.56,15,3.1
437,Vieira de Leiria,90,PT,1563337680,88,39.87,-8.94,18.33,4.6
438,Bella Vista,1,AR,1563337680,100,-27.03,-65.31,11,2.6
439,Awjilah,0,LY,1563337680,72,29.14,21.3,23.6,5.73
440,Port Hardy,90,CA,1563337680,77,50.7,-127.42,16,5.1
441,Alice Springs,0,AU,1563337680,34,-23.7,133.88,18,4.6
443,Luohe,100,CN,1563337681,78,33.57,114.03,25.6,2.71
445,Surt,0,LY,1563337545,71,31.21,16.59,25.5,6.73
446,Port Elizabeth,1,US,1563337681,94,39.31,-74.98,27.78,2.36
447,Colac,100,AU,1563337681,84,-38.34,143.59,13.33,3.13
448,Bahia Honda,100,CU,1563337681,75,22.9,-83.16,29.3,7.87
449,Cam Ranh,20,VN,1563337681,52,11.92,109.15,34,3.1
450,Thunder Bay,20,CA,1563337681,88,48.41,-89.26,20,1
451,Tres Arroyos,76,AR,1563337682,62,-38.38,-60.28,10.1,7.34
452,Cururupu,83,BR,1563337682,98,-1.82,-44.87,22.3,0.77
453,Badou,91,TG,1563337682,91,7.58,0.61,21,0.77
454,Saint-Pierre,24,FR,1563337682,93,48.95,4.24,11,2.1
455,Tocopilla,62,CL,1563337682,83,-22.09,-70.2,14,4.3
456,San Cristobal,0,HN,1563337682,84,14.68,-86.92,20.1,2.89
458,Kuryk,0,KZ,1563337683,57,43.18,51.68,26.8,7.55
459,Bulgan,90,MN,1563337683,74,48.81,103.53,20.1,1.81
460,Aras,20,ES,1563337683,88,42.56,-2.36,18,1.5
461,Dhidhdhoo,100,MV,1563337683,74,6.88,73.1,28.3,9.03
462,Show Low,1,US,1563337565,25,34.25,-110.03,28.33,3.6
463,Lyuban,67,BY,1563337683,97,52.8,28,10.5,3.8
465,Havoysund,0,NO,1563337683,81,71,24.66,9,3.6
466,Grand Gaube,40,MU,1563337684,68,-20.01,57.66,22.22,7.2
467,Novonukutskiy,0,RU,1563337684,54,53.7,102.71,24,1.99
468,Baherden,0,TM,1563337684,25,38.44,57.43,30.8,0.91
469,Havre-Saint-Pierre,90,CA,1563337662,87,50.23,-63.6,16,1.5
470,Salihli,75,TR,1563337684,93,38.48,28.15,19,2.1
471,Jurm,0,AF,1563337684,23,36.86,70.83,24.3,0.78
472,Hualmay,73,PE,1563337684,87,-11.1,-77.61,16.5,6.55
473,Timmins,40,CA,1563337685,63,48.48,-81.33,19,4.6
474,Kieta,24,PG,1563337685,70,-6.22,155.63,27.9,2.16
475,Half Moon Bay,90,US,1563337685,93,37.46,-122.43,20,5.1
476,Alta Floresta,0,BR,1563337685,47,-9.87,-56.08,22.3,1.44
477,Tecoanapa,90,MX,1563337685,69,16.99,-99.26,27,6.2
478,Carson City,1,US,1563337579,35,39.16,-119.77,26,3.06
480,Esperance,0,AU,1563337685,45,-33.86,121.89,19,6.2
481,Ust-Kuyga,100,RU,1563337686,87,70,135.55,5.9,3.12
482,Nouadhibou,40,MR,1563337686,93,20.93,-17.03,19,1.5
483,Oranjestad,75,AW,1563337686,78,12.52,-70.03,28,8.7
485,Barranca de Upia,88,CO,1563337686,90,4.57,-72.97,22.1,1.28
486,Verkhniy Lomov,100,RU,1563337686,96,53.47,43.56,14.5,4.64
487,Solnechnyy,0,RU,1563337686,40,50.72,136.64,30.3,1.23
488,Fort Dodge,1,US,1563337687,94,42.5,-94.17,24.44,2.1
489,Hay River,40,CA,1563337687,49,60.82,-115.79,22,1.5
490,Baturaja,74,ID,1563337687,58,-4.12,104.17,27,2.23
491,Awbari,0,LY,1563337687,11,26.59,12.77,29.7,3.91
492,Kloulklubed,75,PW,1563337687,74,7.04,134.26,30,3.6
493,Shingu,75,JP,1563337687,78,33.72,135.99,27,5.7
494,Bubaque,100,GW,1563337688,79,11.28,-15.83,26.2,4.57
495,Kalmar,49,SE,1563337484,100,56.66,16.36,12.78,3.1
496,Piacabucu,0,BR,1563337688,78,-10.41,-36.43,20.8,1.05
497,Cedar City,1,US,1563337688,15,37.68,-113.06,25.56,3.6
498,Mahabad,0,IR,1563337688,34,36.77,45.72,19.9,1.63
499,Znamenskoye,45,RU,1563337688,70,57.13,73.82,21.8,2.28
500,Kuching,75,MY,1563337688,62,1.56,110.34,31,4.6
501,Lappeenranta,0,FI,1563337689,77,61.06,28.19,15.56,3.1
503,Manokwari,15,ID,1563337689,80,-0.87,134.08,26,3.61
505,Bali Chak,0,IN,1563337512,60,22.37,87.55,32,1.45
506,Balaghat,6,IN,1563337689,68,21.81,80.19,29.3,3.68
507,Chhabra,0,IN,1563337689,62,24.67,76.85,30,6.18
508,Chama,6,ZM,1563337689,68,-11.22,33.16,12.3,0.22
509,Sikasso,39,ML,1563337689,91,11.32,-5.68,22.5,2
510,Palauig,100,PH,1563337690,81,15.44,119.9,27.6,12.03
511,Saurimo,0,AO,1563337690,40,-9.66,20.4,14.1,1.94
512,Jizan,71,SA,1563337690,75,16.89,42.56,33,5.1
513,Bilma,12,NE,1563337690,27,18.69,12.92,32.6,4.57
514,Praia da Vitoria,20,PT,1563337690,88,38.73,-27.07,19.44,3.05
515,Haimen,100,CN,1563337690,69,31.87,121.18,30.56,5.38
516,Enshi,100,CN,1563337690,68,30.29,109.48,25.8,1.74
517,Padang,99,ID,1563337691,81,-0.92,100.36,27.1,4.01
518,Manjeshwar,40,IN,1563337691,78,12.72,74.89,27,1.5
519,Sivas,0,TR,1563337691,87,39.75,37.01,12,1
520,Kvarkeno,86,RU,1563337691,65,52.08,59.73,19.5,5.05
521,Mogadishu,92,SO,1563337515,84,2.04,45.34,23.5,5.49
522,Dwarka,90,IN,1563337691,100,28.58,77.04,31.67,1.5
523,Perivolion,40,GR,1563337691,82,39.42,20.01,21.67,1.5
524,Hvide Sande,83,DK,1563337692,100,56.01,8.13,13.89,2.1
525,Humboldt,100,CA,1563337692,93,52.21,-105.12,15.5,4.36
526,Saint Andrews,66,NZ,1563337692,97,-44.53,171.19,9.44,1.34
527,Yangjiang,100,CN,1563337692,59,21.85,111.96,33.33,0.38
528,Port Augusta,90,AU,1563337692,62,-32.49,137.76,14,4.1
529,Punto Fijo,0,VE,1563337692,81,11.69,-70.21,26.6,12.05
530,Asprovalta,40,GR,1563337693,78,40.72,23.71,22,4.6
531,Bafoulabe,82,ML,1563337693,74,13.81,-10.83,27.2,3.17
532,Khandyga,100,RU,1563337693,47,62.65,135.58,23.9,2.98
533,Nome,40,US,1563337693,94,30.04,-94.42,28.89,2.1
535,Ouango,100,CD,1563337693,97,4.31,22.55,20.5,0.67
536,Bonavista,88,CA,1563337693,79,48.65,-53.11,11.67,1.34
537,Russell,1,US,1563337694,69,38.9,-98.86,27.22,5.1
539,Olavarria,97,AR,1563337444,77,-36.89,-60.32,7.22,0.89
540,Dafeng,100,CN,1563337694,86,33.2,120.46,26.67,0.45
541,Kenai,20,US,1563337435,40,60.55,-151.26,22,4.6
542,Los Llanos de Aridane,75,ES,1563337694,78,28.66,-17.92,25,7.2
543,Provideniya,0,RU,1563337694,82,64.42,-173.23,14,6
544,Zaysan,2,KZ,1563337694,28,47.47,84.87,24.2,2.54
546,Tilichiki,100,RU,1563337695,68,60.47,166.1,16.3,2.23
547,Bilibino,100,RU,1563337695,81,68.06,166.44,4.5,3.32
548,Port Hawkesbury,1,CA,1563337695,87,45.62,-61.36,20,1
549,Aleksandrovskiy Zavod,0,RU,1563337695,34,50.92,117.94,26.5,3.15
550,Broome,85,GB,1563337695,87,52.47,1.45,16.11,1
552,Roald,0,NO,1563337695,87,62.58,6.12,12.22,4.1
553,Seoul,1,KR,1563337547,58,37.57,126.98,30,1.5
554,Dzilam Gonzalez,69,MX,1563337696,82,21.28,-88.93,28,9.75
555,Saldanha,92,PT,1563337696,65,41.42,-6.55,19.8,1.8
556,Uaua,42,BR,1563337606,89,-9.84,-39.48,17.5,3.18
557,Viedma,53,AR,1563337696,61,-40.81,-62.99,10.4,7.3
558,Lere,37,TD,1563337696,91,9.66,14.23,23.1,1.52
559,Kaka,0,TM,1563337696,11,37.35,59.62,36.4,2.77
560,Kysyl-Syr,100,RU,1563337696,58,63.9,122.77,21.8,4.96
562,Mendota,1,US,1563337671,34,36.75,-120.38,30,6.2
563,Banjar,68,ID,1563337398,68,-7.37,108.54,25.7,1.59
564,Kahului,40,US,1563337697,74,20.89,-156.47,27,10.3
565,Tessalit,5,ML,1563337697,33,20.2,1.01,31.8,6.37
566,Jasper,1,US,1563337697,100,33.83,-87.28,25.56,1.91
568,Bom Jesus,0,BR,1563337697,52,-9.08,-44.36,20.5,0.21
569,San Carlos,99,NI,1563337697,1,11.12,-84.78,21.67,7.6
570,Vanderhoof,100,CA,1563337698,62,54.02,-124.02,16.7,1.53
571,Dutse,8,NG,1563337698,70,11.76,9.34,25.7,4.95
572,Charters Towers,0,AU,1563337698,31,-20.07,146.27,20.4,5.89
573,Balvi,99,LV,1563337698,96,57.13,27.27,10.6,2.19
574,Soligalich,100,RU,1563337698,82,59.08,42.29,12.9,1.71
575,Fitii,4,PF,1563337698,76,-16.73,-151.03,24.2,8.57
576,Moranbah,0,AU,1563337699,35,-22,148.04,20.4,7.13
577,Puri,45,ID,1563337699,51,-7.54,112.45,28.4,5.25
578,Severo-Yeniseyskiy,97,RU,1563337699,80,60.37,93.04,21.4,2.54
579,Whitecourt,20,CA,1563337699,63,54.14,-115.68,18,1.5
580,Luanda,57,AO,1563337218,100,-8.83,13.24,19,1.5
581,Varnavino,0,RU,1563337699,67,61.19,46.56,13.8,0.71
582,Lashio,96,MM,1563337699,90,22.93,97.75,23.7,0.38
583,Mayor Pablo Lagerenza,25,PY,1563337699,46,-19.93,-60.77,16.9,1.95
584,Ceuta,100,MX,1563337700,94,23.9,-106.93,25.56,0.45
585,Yining,29,CN,1563337700,60,29.04,114.56,33.9,0.19
586,Marsh Harbour,18,BS,1563337700,69,26.54,-77.06,29.1,3.55
587,Pitimbu,0,BR,1563337700,94,-7.47,-34.81,21,0.5
590,Maltahohe,0,NA,1563337700,57,-24.83,16.98,5.1,1.1
592,Nhulunbuy,75,AU,1563337701,54,-12.18,136.78,26,7.2
593,Antofagasta,90,CL,1563337701,71,-23.65,-70.4,13,1
594,Kargasok,65,RU,1563337701,67,59.06,80.87,21.5,2.54
595,Inirida,100,CO,1563337701,96,3.87,-67.92,22.6,0.46
596,Paungde,18,MM,1563337701,75,18.49,95.51,29.6,2.51
597,Kaoma,0,ZM,1563337701,84,-14.8,24.8,8.7,2.97
598,Grootfontein,0,NA,1563337701,51,-19.56,18.1,4,2.1
599,Manzanillo,57,MX,1563337702,75,19.05,-104.32,28.8,2.92
600,Grand-Santi,66,GF,1563337702,88,4.27,-54.38,21.3,0.42
601,Peniche,75,PT,1563337702,88,39.36,-9.38,18,7.2
602,Ban Phai,40,TH,1563337702,59,16.55,102.46,34,1.5
603,Richards Bay,0,ZA,1563337702,75,-28.77,32.06,19.8,8.92
604,Lobito,0,AO,1563337702,94,-12.35,13.55,17.6,1.07
605,Ponta Delgada,20,PT,1563337702,87,37.73,-25.67,16,1.5
606,Bandarbeyla,28,SO,1563337703,58,9.49,50.81,25.5,13.48
607,Vadgaon,34,IN,1563337703,69,20.94,74.87,27.3,6.33
608,Lewiston,1,US,1563337703,78,44.1,-70.21,22.22,1.5
609,Milkovo,100,BG,1563337703,87,41.53,24.68,22,2.1
610,Morondava,92,MG,1563337703,56,-20.3,44.28,22.7,7.49
611,Udachnyy,75,RU,1563337703,49,66.42,112.4,21,6
612,Yenagoa,90,NG,1563337703,93,4.92,6.26,23.9,1.53
613,Sergeyevka,6,KZ,1563337704,70,53.88,67.42,18.1,6.21
614,Gunnaur,77,IN,1563337704,71,28.24,78.44,28.4,2.44
615,Mporokoso,0,ZM,1563337704,75,-9.37,30.12,11.2,2.76
618,Mayo,20,CA,1563337704,33,63.59,-135.9,23,2.1
619,Savannah Bight,5,HN,1563337704,79,16.45,-85.85,28.5,9.83
620,Rio Grande,0,BR,1563337219,94,-32.03,-52.1,7.3,0.22
621,Dakar,91,SN,1563337617,78,14.69,-17.45,25,3.1
622,Tutoia,2,BR,1563337705,93,-2.76,-42.27,22.8,2.31
623,Quang Ngai,100,VN,1563337705,47,15.12,108.8,33.7,0.97
